Data;Type
07780006782C4176;1
07780106602C4178;1
07780106702C4176;1
07800005F02D4182;1
07800006082D0180;1
07800006102D017E;1
07800006182CC17E;1
07800006282CC17C;1
07800006302CC17C;1
07800006482C817A;1
07800006502C417A;1
07800106202CC17E;1
07800106282CC17C;1
07800106382C817C;1
07800106502C417A;1
07800206302C817C;1
4000000000870050;5
4000000000870051;5
4000000000870052;5
4000000000870053;5
4000000000870055;5
4000000000870056;5
4000000000870057;5
4000000000870058;5
4000000000870059;5
BA31004F00000000;1
BA31005000000000;1
BA31005100000000;1
BA31005200000000;1
BA31005300000000;1
BA31005400000000;1
BA31005600000000;1
BA31005700000000;1
BA32004F00000000;1
BA32005000000000;1
BA32005100000000;1
BA32005200000000;1
BA32005300000000;1
BA32005400000000;1
BA32005500000000;1
BA32005600000000;1
BA32005700000000;1
BA32005800000000;1
BA32005900000000;1
BA33004F00000000;1
BA33005000000000;1
BA33005100000000;1
BA33005200000000;1
BA33005300000000;1
BA33005400000000;1
BA33005600000000;1
BA33005700000000;1
BA33005800000000;1
BA33005900000000;1
BA34005400000000;1
BA34005500000000;1
BA35005500000000;1
BA36005400000000;1
BA38005400000000;1
BA38005500000000;1
BA3A005400000000;1
BA3B005500000000;1
BA3C005400000000;1
BA3C005500000000;1
BA3E005400000000;1
BA40005400000000;1
BA41005500000000;1
BA42005400000000;1
BA44005400000000;1
BA45005500000000;1
BA46005400000000;1
BA46005500000000;1
BA47005400000000;1
BA47005500000000;1
BA48005400000000;1
