Data;Type
4000000000870055;3
4000000000870056;3
4000000000870057;3
4000000000870058;3
4000000000870059;3
BA31004F00000000;1
BA31005000000000;1
BA31005100000000;1
BA31005200000000;1
BA31005300000000;1
BA31005400000000;1
BA31005600000000;1
BA31005700000000;1
BA32004F00000000;1
BA32005000000000;1
BA32005100000000;1
BA32005200000000;1
BA32005300000000;1
BA32005400000000;1
BA32005500000000;1
BA32005600000000;1
BA32005700000000;1
BA32005800000000;1
BA32005900000000;1
BA33004F00000000;1
BA33005000000000;1
BA33005100000000;1
BA33005200000000;1
BA33005300000000;1
BA33005400000000;1
BA33005600000000;1
BA33005700000000;1
BA33005800000000;1
BA33005900000000;1
BA34005400000000;1
BA34005500000000;1
BA35005500000000;1
BA36005400000000;1
BA38005400000000;1
BA38005500000000;1
BA3A005400000000;1
BA3B005500000000;1
BA3C005400000000;1
BA3C005500000000;1
BA3E005400000000;1
BA40005400000000;1
BA41005500000000;1
BA42005400000000;1
BA44005400000000;1
BA45005500000000;1
BA46005400000000;1
BA46005500000000;1
BA47005400000000;1
BA47005500000000;1
BA48005400000000;1
